AKL	NZ
AMS	NL
ATL	US
AUH	AE
BCN	ES
BKK	TH
BNE	AU
BOS	US
CAI	EG
CDG	FR
CEB	PH
CGK	ID
CMB	LK
CPT	ZA
DEL	IN
DFW	US
DPS	ID
DTW	US
DXB	AE
FCO	IT
FRA	DE
FUK	JP
GIG	BR
GRU	BR
GUM	GU
HAN	VN
HKG	HK
HKT	TH
HND	JP
HNL	US
IAD	US
ICN	KR
IST	TR
JFK	US
JNB	ZA
KIX	JP
KUL	MY
LAS	US
LAX	US
LGE	KR
LHR	GB
LIM	PE
MAD	ES
MEL	AU
MEX	MX
MLE	MV
MNL	PH
MUC	DE
MXP	IT
NBO	KE
NRT	JP
OKA	JP
ORD	US
PRG	CZ
QCK	KR
SCL	CL
SEA	US
SFO	GP
SGN	VN
SIN	SG
SVO	US
SYD	AU
TPE	TW
VIE	AT
YUL	CA
YVR	CA
YYC	CA
YYZ	CA
ZRH	CH
